filename,image_width,image_height,class,xmin,ymin,width,height
shoe_110.jpeg,1200,1599,shoe,397,225,311,817
shoe_100.jpeg,1200,1599,shoe,110,561,950,395
shoe_102.jpeg,1200,1599,shoe,358,238,411,951
shoe_106.jpeg,1200,1599,shoe,358,129,387,846
shoe_104.jpeg,1200,1599,shoe,357,382,514,949
shoe_125.jpeg,1200,1599,shoe,724,67,441,897
shoe_125.jpeg,1200,1599,shoe,448,737,312,796
shoe_125.jpeg,1200,1599,shoe,68,16,458,950
shoe_108.jpeg,1200,1599,shoe,342,445,465,948
shoe_115.jpg,4032,2268,shoe,2710,0,1322,1467
shoe_p122.jpg,6936,9248,shoe,2280,2169,2649,1216
shoe_p122.jpg,6936,9248,shoe,2210,4735,3068,1913
shoe_p122.jpg,6936,9248,shoe,2269,3365,2857,1078
shoe_p122.jpg,6936,9248,shoe,2680,3912,3376,1669
shoe_118.jpg,4032,2268,shoe,1730,1217,497,359
shoe_116.jpg,4032,2268,shoe,665,677,3280,1573
shoe_p125.jpg,6936,9248,shoe,3840,2059,1502,2421
shoe_p125.jpg,6936,9248,shoe,2774,1551,1172,2603
shoe_107.jpeg,1200,1599,shoe,231,339,474,880
shoe_107.jpeg,1200,1599,shoe,520,71,474,622
shoe_117.jpg,4032,2268,shoe,287,377,3745,1890
shoe_113.jpg,2268,4032,shoe,1620,230,632,3151
shoe_120.jpg,2268,4032,shoe,153,586,1908,2943
shoe_119.jpg,2268,4032,shoe,853,1776,841,1247
shoe_p130.jpg,3468,4624,shoe,1769,2033,769,1582
shoe_p130.jpg,3468,4624,shoe,887,918,675,1660
shoe_123.jpeg,1200,1599,shoe,322,482,654,489
shoe_111.jpeg,1200,1599,shoe,135,415,930,419
shoe_p129.jpg,3468,4624,shoe,2178,963,783,1833
shoe_p129.jpg,3468,4624,shoe,348,1354,718,1710
shoe_109.jpeg,1200,1599,shoe,165,633,936,328
shoe_105.jpeg,1200,1599,shoe,379,259,450,668
shoe_p128.jpg,3468,4624,shoe,930,2002,952,1871
shoe_p123.jpg,6936,9248,shoe,5265,7239,639,1533
shoe_p123.jpg,6936,9248,shoe,4430,6902,832,1529
shoe_114.jpg,2268,4032,shoe,614,202,1650,3130
shoe_p126.jpg,3468,4624,shoe,1300,2086,659,1941
shoe_p126.jpg,3468,4624,shoe,293,620,1832,1239
shoe_92.jpeg,1200,1599,shoe,90,344,979,442
shoe_p127.jpg,3468,4624,shoe,2104,612,1103,1861
shoe_p127.jpg,3468,4624,shoe,16,1112,1804,1229
shoe_91.jpeg,1200,1599,shoe,361,470,345,892
shoe_121.jpg,2268,4032,shoe,581,1180,806,1741
shoe_94.jpeg,1200,1599,shoe,405,189,451,883
shoe_134.jpeg,574,1280,shoe,120,462,174,262
